id	mother	father	year	rep	scheme
52950	36015	42544	48	1	PedigreSelection
60926	40008	50644	48	1	PedigreSelection
55776	40008	41854	48	1	PedigreSelection
58929	47607	36015	48	1	PedigreSelection
44374	34023	30234	48	1	PedigreSelection
34023	14647	4903	48	1	PedigreSelection
55780	40008	41854	48	1	PedigreSelection
50644	36015	29645	48	1	PedigreSelection
52679	38548	40001	48	1	PedigreSelection
54243	44576	36015	48	1	PedigreSelection
62154	52950	48884	49	1	PedigreSelection
61776	49441	40008	49	1	PedigreSelection
52950	36015	42544	49	1	PedigreSelection
62156	52950	48884	49	1	PedigreSelection
62155	52950	48884	49	1	PedigreSelection
59170	48884	49651	49	1	PedigreSelection
59154	48884	49651	49	1	PedigreSelection
56919	36015	38601	49	1	PedigreSelection
60680	49441	40008	49	1	PedigreSelection
55780	40008	41854	49	1	PedigreSelection
58950	40008	45578	49	1	PedigreSelection
49441	34023	40008	49	1	PedigreSelection
58940	40008	45578	49	1	PedigreSelection
61785	49441	40008	49	1	PedigreSelection
60682	49441	40008	49	1	PedigreSelection
61786	49441	40008	49	1	PedigreSelection
40008	18482	11763	49	1	PedigreSelection
59885	47361	44386	49	1	PedigreSelection
60926	40008	50644	49	1	PedigreSelection
57849	38548	40008	49	1	PedigreSelection
57897	36015	45578	49	1	PedigreSelection
55776	40008	41854	49	1	PedigreSelection
54243	44576	36015	49	1	PedigreSelection
57913	36015	38601	49	1	PedigreSelection
58929	47607	36015	49	1	PedigreSelection
56197	44576	35893	49	1	PedigreSelection
50414	34023	29645	49	1	PedigreSelection
49651	40008	38601	49	1	PedigreSelection
50644	36015	29645	49	1	PedigreSelection
48421	34023	27302	49	1	PedigreSelection
62154	52950	48884	50	1	PedigreSelection
62156	52950	48884	50	1	PedigreSelection
59170	48884	49651	50	1	PedigreSelection
62155	52950	48884	50	1	PedigreSelection
56197	44576	35893	50	1	PedigreSelection
61776	49441	40008	50	1	PedigreSelection
63256	52950	49651	50	1	PedigreSelection
52950	36015	42544	50	1	PedigreSelection
59154	48884	49651	50	1	PedigreSelection
63265	52950	49651	50	1	PedigreSelection
49441	34023	40008	50	1	PedigreSelection
63251	52950	49651	50	1	PedigreSelection
50414	34023	29645	50	1	PedigreSelection
58950	40008	45578	50	1	PedigreSelection
61786	49441	40008	50	1	PedigreSelection
59885	47361	44386	50	1	PedigreSelection
58940	40008	45578	50	1	PedigreSelection
60680	49441	40008	50	1	PedigreSelection
61785	49441	40008	50	1	PedigreSelection
60682	49441	40008	50	1	PedigreSelection
55780	40008	41854	50	1	PedigreSelection
49651	40008	38601	50	1	PedigreSelection
54243	44576	36015	50	1	PedigreSelection
48421	34023	27302	50	1	PedigreSelection
58929	47607	36015	50	1	PedigreSelection
60926	40008	50644	50	1	PedigreSelection
56919	36015	38601	50	1	PedigreSelection
57849	38548	40008	50	1	PedigreSelection
40008	18482	11763	50	1	PedigreSelection
50644	36015	29645	50	1	PedigreSelection
63256	52950	49651	51	1	PedigreSelection
61776	49441	40008	51	1	PedigreSelection
55780	40008	41854	51	1	PedigreSelection
62156	52950	48884	51	1	PedigreSelection
52950	36015	42544	51	1	PedigreSelection
62154	52950	48884	51	1	PedigreSelection
59170	48884	49651	51	1	PedigreSelection
58950	40008	45578	51	1	PedigreSelection
62155	52950	48884	51	1	PedigreSelection
59154	48884	49651	51	1	PedigreSelection
63265	52950	49651	51	1	PedigreSelection
61785	49441	40008	51	1	PedigreSelection
61786	49441	40008	51	1	PedigreSelection
58940	40008	45578	51	1	PedigreSelection
60680	49441	40008	51	1	PedigreSelection
63251	52950	49651	51	1	PedigreSelection
56919	36015	38601	51	1	PedigreSelection
64582	50414	54243	51	1	PedigreSelection
60682	49441	40008	51	1	PedigreSelection
64584	50414	54243	51	1	PedigreSelection
64572	50414	54243	51	1	PedigreSelection
60926	40008	50644	51	1	PedigreSelection
58929	47607	36015	51	1	PedigreSelection
54243	44576	36015	51	1	PedigreSelection
49441	34023	40008	51	1	PedigreSelection
40008	18482	11763	51	1	PedigreSelection
57849	38548	40008	51	1	PedigreSelection
49651	40008	38601	51	1	PedigreSelection
59885	47361	44386	51	1	PedigreSelection
56197	44576	35893	51	1	PedigreSelection
59154	48884	49651	52	1	PedigreSelection
61776	49441	40008	52	1	PedigreSelection
64582	50414	54243	52	1	PedigreSelection
63256	52950	49651	52	1	PedigreSelection
55780	40008	41854	52	1	PedigreSelection
59170	48884	49651	52	1	PedigreSelection
62156	52950	48884	52	1	PedigreSelection
62154	52950	48884	52	1	PedigreSelection
58950	40008	45578	52	1	PedigreSelection
64584	50414	54243	52	1	PedigreSelection
62155	52950	48884	52	1	PedigreSelection
52950	36015	42544	52	1	PedigreSelection
65050	48884	49651	52	1	PedigreSelection
65040	48884	49651	52	1	PedigreSelection
60680	49441	40008	52	1	PedigreSelection
64572	50414	54243	52	1	PedigreSelection
61785	49441	40008	52	1	PedigreSelection
61786	49441	40008	52	1	PedigreSelection
60682	49441	40008	52	1	PedigreSelection
63265	52950	49651	52	1	PedigreSelection
58940	40008	45578	52	1	PedigreSelection
63251	52950	49651	52	1	PedigreSelection
54243	44576	36015	52	1	PedigreSelection
60926	40008	50644	52	1	PedigreSelection
59885	47361	44386	52	1	PedigreSelection
40008	18482	11763	52	1	PedigreSelection
49651	40008	38601	52	1	PedigreSelection
65038	48884	49651	52	1	PedigreSelection
49441	34023	40008	52	1	PedigreSelection
56919	36015	38601	52	1	PedigreSelection
59170	48884	49651	53	1	PedigreSelection
66192	52950	55780	53	1	PedigreSelection
61776	49441	40008	53	1	PedigreSelection
66202	52950	55780	53	1	PedigreSelection
59154	48884	49651	53	1	PedigreSelection
66462	55780	50414	53	1	PedigreSelection
64582	50414	54243	53	1	PedigreSelection
63256	52950	49651	53	1	PedigreSelection
65050	48884	49651	53	1	PedigreSelection
55780	40008	41854	53	1	PedigreSelection
62156	52950	48884	53	1	PedigreSelection
62154	52950	48884	53	1	PedigreSelection
64572	50414	54243	53	1	PedigreSelection
62155	52950	48884	53	1	PedigreSelection
52950	36015	42544	53	1	PedigreSelection
64584	50414	54243	53	1	PedigreSelection
61786	49441	40008	53	1	PedigreSelection
59885	47361	44386	53	1	PedigreSelection
58950	40008	45578	53	1	PedigreSelection
65040	48884	49651	53	1	PedigreSelection
54243	44576	36015	53	1	PedigreSelection
49651	40008	38601	53	1	PedigreSelection
63251	52950	49651	53	1	PedigreSelection
58940	40008	45578	53	1	PedigreSelection
61785	49441	40008	53	1	PedigreSelection
65038	48884	49651	53	1	PedigreSelection
49441	34023	40008	53	1	PedigreSelection
63265	52950	49651	53	1	PedigreSelection
60680	49441	40008	53	1	PedigreSelection
40008	18482	11763	53	1	PedigreSelection
59170	48884	49651	54	1	PedigreSelection
64582	50414	54243	54	1	PedigreSelection
59154	48884	49651	54	1	PedigreSelection
66192	52950	55780	54	1	PedigreSelection
66462	55780	50414	54	1	PedigreSelection
65050	48884	49651	54	1	PedigreSelection
58950	40008	45578	54	1	PedigreSelection
62156	52950	48884	54	1	PedigreSelection
64572	50414	54243	54	1	PedigreSelection
67484	49441	56222	54	1	PedigreSelection
63256	52950	49651	54	1	PedigreSelection
65038	48884	49651	54	1	PedigreSelection
67167	52950	48421	54	1	PedigreSelection
62154	52950	48884	54	1	PedigreSelection
66202	52950	55780	54	1	PedigreSelection
64584	50414	54243	54	1	PedigreSelection
65040	48884	49651	54	1	PedigreSelection
67428	49441	56197	54	1	PedigreSelection
61776	49441	40008	54	1	PedigreSelection
62155	52950	48884	54	1	PedigreSelection
52950	36015	42544	54	1	PedigreSelection
54243	44576	36015	54	1	PedigreSelection
55780	40008	41854	54	1	PedigreSelection
61786	49441	40008	54	1	PedigreSelection
49651	40008	38601	54	1	PedigreSelection
59885	47361	44386	54	1	PedigreSelection
63251	52950	49651	54	1	PedigreSelection
60680	49441	40008	54	1	PedigreSelection
63265	52950	49651	54	1	PedigreSelection
58940	40008	45578	54	1	PedigreSelection
59154	48884	49651	55	1	PedigreSelection
59170	48884	49651	55	1	PedigreSelection
59885	47361	44386	55	1	PedigreSelection
65050	48884	49651	55	1	PedigreSelection
67428	49441	56197	55	1	PedigreSelection
62156	52950	48884	55	1	PedigreSelection
62154	52950	48884	55	1	PedigreSelection
64582	50414	54243	55	1	PedigreSelection
67167	52950	48421	55	1	PedigreSelection
65038	48884	49651	55	1	PedigreSelection
66462	55780	50414	55	1	PedigreSelection
65040	48884	49651	55	1	PedigreSelection
66192	52950	55780	55	1	PedigreSelection
62155	52950	48884	55	1	PedigreSelection
68071	52950	50414	55	1	PedigreSelection
64572	50414	54243	55	1	PedigreSelection
63256	52950	49651	55	1	PedigreSelection
64584	50414	54243	55	1	PedigreSelection
67484	49441	56222	55	1	PedigreSelection
61776	49441	40008	55	1	PedigreSelection
68461	58940	54243	55	1	PedigreSelection
68453	58940	54243	55	1	PedigreSelection
52950	36015	42544	55	1	PedigreSelection
55780	40008	41854	55	1	PedigreSelection
61786	49441	40008	55	1	PedigreSelection
49651	40008	38601	55	1	PedigreSelection
58950	40008	45578	55	1	PedigreSelection
66202	52950	55780	55	1	PedigreSelection
58940	40008	45578	55	1	PedigreSelection
63251	52950	49651	55	1	PedigreSelection
69089	52950	59154	56	1	PedigreSelection
64582	50414	54243	56	1	PedigreSelection
69946	59885	56197	56	1	PedigreSelection
66462	55780	50414	56	1	PedigreSelection
69082	52950	59154	56	1	PedigreSelection
65050	48884	49651	56	1	PedigreSelection
68461	58940	54243	56	1	PedigreSelection
59154	48884	49651	56	1	PedigreSelection
68453	58940	54243	56	1	PedigreSelection
66192	52950	55780	56	1	PedigreSelection
67428	49441	56197	56	1	PedigreSelection
61786	49441	40008	56	1	PedigreSelection
58950	40008	45578	56	1	PedigreSelection
61776	49441	40008	56	1	PedigreSelection
67167	52950	48421	56	1	PedigreSelection
65040	48884	49651	56	1	PedigreSelection
59885	47361	44386	56	1	PedigreSelection
64572	50414	54243	56	1	PedigreSelection
63256	52950	49651	56	1	PedigreSelection
65038	48884	49651	56	1	PedigreSelection
62156	52950	48884	56	1	PedigreSelection
62154	52950	48884	56	1	PedigreSelection
55780	40008	41854	56	1	PedigreSelection
52950	36015	42544	56	1	PedigreSelection
64584	50414	54243	56	1	PedigreSelection
67484	49441	56222	56	1	PedigreSelection
49651	40008	38601	56	1	PedigreSelection
66202	52950	55780	56	1	PedigreSelection
63251	52950	49651	56	1	PedigreSelection
59170	48884	49651	56	1	PedigreSelection
64582	50414	54243	57	1	PedigreSelection
59170	48884	49651	57	1	PedigreSelection
59154	48884	49651	57	1	PedigreSelection
69946	59885	56197	57	1	PedigreSelection
70876	59170	59885	57	1	PedigreSelection
70882	59170	59885	57	1	PedigreSelection
69089	52950	59154	57	1	PedigreSelection
66462	55780	50414	57	1	PedigreSelection
65050	48884	49651	57	1	PedigreSelection
69082	52950	59154	57	1	PedigreSelection
67428	49441	56197	57	1	PedigreSelection
62154	52950	48884	57	1	PedigreSelection
70110	60680	59154	57	1	PedigreSelection
63256	52950	49651	57	1	PedigreSelection
68453	58940	54243	57	1	PedigreSelection
67167	52950	48421	57	1	PedigreSelection
68461	58940	54243	57	1	PedigreSelection
65038	48884	49651	57	1	PedigreSelection
64572	50414	54243	57	1	PedigreSelection
65040	48884	49651	57	1	PedigreSelection
59885	47361	44386	57	1	PedigreSelection
66192	52950	55780	57	1	PedigreSelection
67484	49441	56222	57	1	PedigreSelection
64584	50414	54243	57	1	PedigreSelection
62156	52950	48884	57	1	PedigreSelection
58950	40008	45578	57	1	PedigreSelection
55780	40008	41854	57	1	PedigreSelection
49651	40008	38601	57	1	PedigreSelection
61786	49441	40008	57	1	PedigreSelection
61776	49441	40008	57	1	PedigreSelection
66462	55780	50414	58	1	PedigreSelection
68453	58940	54243	58	1	PedigreSelection
71171	59170	56919	58	1	PedigreSelection
68461	58940	54243	58	1	PedigreSelection
71140	59170	50414	58	1	PedigreSelection
71193	59170	52950	58	1	PedigreSelection
64572	50414	54243	58	1	PedigreSelection
61776	49441	40008	58	1	PedigreSelection
69946	59885	56197	58	1	PedigreSelection
66192	52950	55780	58	1	PedigreSelection
64582	50414	54243	58	1	PedigreSelection
69089	52950	59154	58	1	PedigreSelection
55780	40008	41854	58	1	PedigreSelection
67167	52950	48421	58	1	PedigreSelection
64584	50414	54243	58	1	PedigreSelection
69082	52950	59154	58	1	PedigreSelection
67428	49441	56197	58	1	PedigreSelection
65040	48884	49651	58	1	PedigreSelection
70110	60680	59154	58	1	PedigreSelection
67484	49441	56222	58	1	PedigreSelection
62156	52950	48884	58	1	PedigreSelection
59170	48884	49651	58	1	PedigreSelection
62154	52950	48884	58	1	PedigreSelection
63256	52950	49651	58	1	PedigreSelection
58950	40008	45578	58	1	PedigreSelection
70882	59170	59885	58	1	PedigreSelection
61786	49441	40008	58	1	PedigreSelection
70876	59170	59885	58	1	PedigreSelection
65050	48884	49651	58	1	PedigreSelection
49651	40008	38601	58	1	PedigreSelection
64582	50414	54243	59	1	PedigreSelection
71140	59170	50414	59	1	PedigreSelection
71193	59170	52950	59	1	PedigreSelection
69946	59885	56197	59	1	PedigreSelection
71171	59170	56919	59	1	PedigreSelection
69089	52950	59154	59	1	PedigreSelection
68453	58940	54243	59	1	PedigreSelection
72257	59170	57849	59	1	PedigreSelection
72297	59154	56919	59	1	PedigreSelection
70882	59170	59885	59	1	PedigreSelection
64584	50414	54243	59	1	PedigreSelection
59170	48884	49651	59	1	PedigreSelection
65050	48884	49651	59	1	PedigreSelection
69082	52950	59154	59	1	PedigreSelection
62156	52950	48884	59	1	PedigreSelection
68461	58940	54243	59	1	PedigreSelection
64572	50414	54243	59	1	PedigreSelection
67428	49441	56197	59	1	PedigreSelection
70110	60680	59154	59	1	PedigreSelection
67167	52950	48421	59	1	PedigreSelection
66462	55780	50414	59	1	PedigreSelection
70876	59170	59885	59	1	PedigreSelection
72149	62156	58940	59	1	PedigreSelection
63256	52950	49651	59	1	PedigreSelection
66192	52950	55780	59	1	PedigreSelection
67484	49441	56222	59	1	PedigreSelection
62154	52950	48884	59	1	PedigreSelection
58950	40008	45578	59	1	PedigreSelection
55780	40008	41854	59	1	PedigreSelection
61776	49441	40008	59	1	PedigreSelection
71171	59170	56919	60	1	PedigreSelection
71140	59170	50414	60	1	PedigreSelection
71193	59170	52950	60	1	PedigreSelection
69946	59885	56197	60	1	PedigreSelection
65050	48884	49651	60	1	PedigreSelection
72257	59170	57849	60	1	PedigreSelection
66462	55780	50414	60	1	PedigreSelection
67428	49441	56197	60	1	PedigreSelection
73215	59170	62155	60	1	PedigreSelection
