year	rep	scenario	meanG	varG	accSel
62	1	GS	5172.15242853845	12047.4328854006	0.291208412900872
63	1	GS	5156.21738433944	8138.21470091235	0.194984777500862
64	1	GS	5180.60345366126	8079.64039480501	0.334304712424639
65	1	GS	5214.05452981686	10334.9416953322	0.353982753825972
66	1	GS	5194.0137014654	12020.0796542561	0.303695609145165
67	1	GS	5185.90827129296	15519.3767311886	0.380532504036135
68	1	GS	5219.64406797212	14849.390385574	0.474452270325407
69	1	GS	5196.41862458351	17682.5928072809	0.497082273045254
70	1	GS	5254.86770857364	14340.8131486274	0.421122052470042
71	1	GS	5249.28701756217	14454.7912927573	0.296898352134028
72	1	GS	5251.7515364844	12180.062606815	0.799330240021806
73	1	GS	5284.79905741905	10345.4510766997	0.620162787071276
74	1	GS	5279.62426463588	11979.7544832276	0.663321769832676
75	1	GS	5327.83995467722	10328.254134162	0.743444402894282
76	1	GS	5352.08477988841	10461.0852620551	0.186009697023137
77	1	GS	5306.49281454771	9319.53659743306	-0.030519823666461
78	1	GS	5341.76640054823	10024.6017552007	-0.0364868687139454
79	1	GS	5334.88033809247	11006.9123804026	0.034633253764406
80	1	GS	5377.72163226195	10505.7944832446	0.295319045941059
1	1	Burn_in	2584.74639031329	161198.41601842	0.46468575217046
2	1	Burn_in	2578.31610414265	104152.211789282	0.441074338254412
3	1	Burn_in	2759.94555360847	179154.742323624	0.37708497452979
4	1	Burn_in	2923.39503210644	195881.206066808	0.341340512291587
5	1	Burn_in	2778.53728495635	179283.218857992	0.135908927452627
6	1	Burn_in	2915.20260131106	170118.212703959	0.469499863931402
7	1	Burn_in	3014.74305702371	170468.508149946	0.328354579384819
8	1	Burn_in	3034.32910982688	162992.404722675	0.402519786699775
9	1	Burn_in	3119.27619178764	126446.419692333	0.202582940965636
10	1	Burn_in	3074.70888718118	134426.896024837	0.150477343258832
11	1	Burn_in	3151.01334352476	146711.978586174	0.491480517089287
12	1	Burn_in	3129.48453811551	139659.849254987	0.342026030227257
13	1	Burn_in	3195.21020155983	155807.78243024	0.456420704161527
14	1	Burn_in	3339.06221996789	119602.277609192	0.455917793840086
15	1	Burn_in	3472.04154069723	126511.103858693	0.292636194038665
16	1	Burn_in	3387.86924309331	118057.053281047	0.359146582540566
17	1	Burn_in	3540.70673211773	115562.547634164	0.387532388813731
18	1	Burn_in	3538.65279654969	103420.271110752	0.573255916413404
19	1	Burn_in	3605.73860163728	90686.091426093	0.377940767790304
20	1	Burn_in	3566.21756256045	99481.7037732456	0.275984511337675
21	1	Burn_in	3720.43827772614	103353.084428336	0.327266879596286
22	1	Burn_in	3732.0529108102	94436.0544793031	0.3967904651275
23	1	Burn_in	3749.19500123956	121318.005475508	0.19812894565833
24	1	Burn_in	3747.0502978953	106943.818835775	0.359433253526811
25	1	Burn_in	3790.18066075808	91524.4217552964	0.400046602745007
26	1	Burn_in	3840.0952100602	102226.403801914	0.46107798730776
27	1	Burn_in	3886.60806061107	85243.3833523183	0.394752381808839
28	1	Burn_in	3957.52562662022	108616.072045092	0.229186011065235
29	1	Burn_in	3942.42416652839	92326.8712416559	0.451142168281853
30	1	Burn_in	4056.33158012974	107464.916950351	0.295861005138892
31	1	Burn_in	4108.46829081627	135385.361294108	0.354637909809096
32	1	Burn_in	4126.88742328316	91681.6139758031	0.261670750817634
33	1	Burn_in	4080.64067229066	110967.621296753	0.421706842518267
34	1	Burn_in	4164.4172855315	105274.139118848	0.337633960754671
35	1	Burn_in	4223.99731601955	68688.224243715	0.375657570492104
36	1	Burn_in	4296.37314195629	70519.9462021459	0.456364293493526
37	1	Burn_in	4398.26074536329	75774.2531792801	0.414794020691606
38	1	Burn_in	4367.97008423656	108487.759972021	0.490693368743154
39	1	Burn_in	4394.31461803166	93240.2578415083	0.188569345692731
40	1	Burn_in	4462.10149776688	66756.8927049359	0.132699246657916
41	1	GS_costeffective	4490.66619627721	63232.3173227608	0.567629080623039
42	1	GS_costeffective	4562.52992675428	74360.1984169337	0.577797258423306
43	1	GS_costeffective	4655.11855576592	72534.7276770356	0.765793015295203
44	1	GS_costeffective	4698.89727536646	55810.4333006703	0.629062747143488
45	1	GS_costeffective	4698.4883705423	59247.384106085	0.601841387564554
46	1	GS_costeffective	4744.3562648869	34878.3689214886	0.553910804030061
47	1	GS_costeffective	4834.35187982054	46392.6203862162	0.608937041087625
48	1	GS_costeffective	4838.76512146778	31675.7359856009	0.73160838468055
49	1	GS_costeffective	4896.13345063433	34105.0311211656	0.43907193328084
50	1	GS_costeffective	4946.31519784775	34478.3429499606	0.587981079203164
51	1	GS_costeffective	5001.04769575288	24307.3078726286	0.485588670846585
52	1	GS_costeffective	4968.55951824158	43292.5679849672	0.687222474032835
53	1	GS_costeffective	4987.05536750554	31780.9029868385	0.601058783329981
54	1	GS_costeffective	5016.47059859534	26972.7497409285	0.642097097665665
55	1	GS_costeffective	5073.07322900087	27680.5049663562	0.714135312861783
56	1	GS_costeffective	5042.75931871733	24622.0445750427	0.74947444735058
57	1	GS_costeffective	5066.26501817264	17497.5508369158	0.31613414794584
58	1	GS_costeffective	5075.42125670128	18680.7188670688	0.765047379753265
59	1	GS_costeffective	5125.83625937536	17929.9055999985	0.582396820567342
