year	rep	scenario	meanG	varG	accSel
55	1	GS_costeffective	5450.71611379657	62671.3324764499	0.433478685117676
56	1	GS_costeffective	5557.47458040456	70617.1984570504	0.366742347905241
57	1	GS_costeffective	5521.0919037999	64434.4586013463	0.607090201872509
58	1	GS_costeffective	5561.83534096827	72239.052345987	0.554392508797815
59	1	GS_costeffective	5633.54944553109	78929.6502414493	0.511897770435588
60	1	GS_costeffective	5640.68049447502	66078.3543474583	0.390537734587175
61	1	GS_costeffective	5653.73145001324	80879.3044212025	0.608014352209105
62	1	GS_costeffective	5733.231680302	49405.458096392	0.384868869694361
63	1	GS_costeffective	5690.66672943874	62563.7478142377	0.487132256211559
64	1	GS_costeffective	5792.46218124431	53627.8896018014	0.542153462678213
65	1	GS_costeffective	5845.09783686367	51901.5135117946	0.49691536848517
66	1	GS_costeffective	5853.20340527522	52255.1889860024	0.577149872445749
67	1	GS_costeffective	5896.49553625673	75861.5811435744	0.362882149040017
68	1	GS_costeffective	6003.84902678531	41019.1564869725	0.172254859726409
69	1	GS_costeffective	5924.37959867146	59427.2646190668	0.316181267285169
70	1	GS_costeffective	6044.85010567972	58304.1955337666	0.453436904849296
71	1	GS_costeffective	5988.22158439251	59435.463003794	0.578036122006795
72	1	GS_costeffective	6086.59316569558	52000.8036351305	0.673662789461986
73	1	GS_costeffective	6026.30241790651	42835.310774957	0.465431253126357
74	1	GS_costeffective	6085.98906652574	46095.5567715902	0.534438542643767
75	1	GS_costeffective	6063.41185536946	43131.2510526941	0.458821866612033
76	1	GS_costeffective	6137.67501023107	58357.7934583538	0.438797745655124
77	1	GS_costeffective	6136.03964532201	44435.3586696981	0.0775549459057788
78	1	GS_costeffective	6114.85740826947	41464.6078719898	0.0379646870839097
79	1	GS_costeffective	6292.25867375444	54353.3810214404	0.383077436126186
80	1	GS_costeffective	6217.06460199155	59138.835398537	0.456668958424941
1	1	Burn_in	2481.43086193649	197349.232012656	0.475337844874918
2	1	Burn_in	2617.46632948607	173001.263580534	0.46949882571252
3	1	Burn_in	2634.33085865679	287748.738737599	0.565197882913319
4	1	Burn_in	2777.10941578357	214948.199627222	0.415809693464571
5	1	Burn_in	3142.55119246002	254678.315019248	0.284151918765563
6	1	Burn_in	3048.03349105782	272397.752844978	0.478486198470356
7	1	Burn_in	3147.86749524967	272223.890702197	0.393615632003394
8	1	Burn_in	3051.37877224397	228670.337407329	0.640779111399646
9	1	Burn_in	3098.67586719706	355475.407680111	0.25691834235981
10	1	Burn_in	3065.27567314552	353408.540085094	0.575750501211212
11	1	Burn_in	3236.8759140078	220902.889451852	0.615058089638488
12	1	Burn_in	3056.9728442565	215341.962166331	0.193885948531894
13	1	Burn_in	3100.2458854953	259701.786611694	0.55905720569078
14	1	Burn_in	3043.05729282355	299786.365491611	0.510631869366888
15	1	Burn_in	3235.30532619494	363677.970404171	0.642828270301861
16	1	Burn_in	3245.08056696042	496878.896050066	0.401746444300402
17	1	Burn_in	3463.86948554302	509497.060679268	0.556536413784667
18	1	Burn_in	3567.85787930458	248812.385815904	0.48350319027288
19	1	Burn_in	3466.40916536284	372860.40536545	0.664674440608284
20	1	Burn_in	3729.76756139183	369437.186902348	0.65572195671622
21	1	Burn_in	3708.67076915977	307228.891375817	0.725651971828634
22	1	Burn_in	3592.08167685999	390672.016324639	0.579959934308477
23	1	Burn_in	3612.63168417743	320143.899041214	0.496957318314879
24	1	Burn_in	3891.60242140672	241965.217055688	0.596447022362695
