id	mother	father	year	rep	scheme
58795	35591	45578	49	1	GS
60834	47607	36015	49	1	GS
40008	18482	11763	49	1	GS
61774	49441	40008	49	1	GS
60844	47607	36015	49	1	GS
58937	40008	45578	49	1	GS
57897	36015	45578	49	1	GS
59903	35893	49959	49	1	GS
62026	44386	36015	49	1	GS
50644	36015	29645	49	1	GS
59900	35893	49959	49	1	GS
54243	44576	36015	49	1	GS
60659	49441	35893	49	1	GS
62813	35591	52679	49	1	GS
59901	35893	49959	49	1	GS
56742	40008	36015	49	1	GS
56678	35591	46565	49	1	GS
55776	40008	41854	49	1	GS
57877	40008	40001	49	1	GS
55805	40008	37341	49	1	GS
33491	8928	23706	49	1	GS
57833	38548	40008	49	1	GS
35893	13740	11763	49	1	GS
35591	11979	18482	49	1	GS
54671	35893	37341	49	1	GS
62249	52950	49959	50	1	GS
52950	36015	42544	50	1	GS
63261	52950	49651	50	1	GS
62796	49441	35893	50	1	GS
63265	52950	49651	50	1	GS
61774	49441	40008	50	1	GS
63976	49959	50644	50	1	GS
60834	47607	36015	50	1	GS
61782	49441	40008	50	1	GS
62026	44386	36015	50	1	GS
58943	40008	45578	50	1	GS
40008	18482	11763	50	1	GS
60844	47607	36015	50	1	GS
59900	35893	49959	50	1	GS
60659	49441	35893	50	1	GS
58937	40008	45578	50	1	GS
59903	35893	49959	50	1	GS
50644	36015	29645	50	1	GS
54243	44576	36015	50	1	GS
57897	36015	45578	50	1	GS
56742	40008	36015	50	1	GS
58795	35591	45578	50	1	GS
55776	40008	41854	50	1	GS
59901	35893	49959	50	1	GS
56678	35591	46565	50	1	GS
57877	40008	40001	50	1	GS
57833	38548	40008	50	1	GS
62813	35591	52679	50	1	GS
35893	13740	11763	50	1	GS
55805	40008	37341	50	1	GS
62249	52950	49959	51	1	GS
64248	35893	49441	51	1	GS
64066	52950	41629	51	1	GS
64069	52950	41629	51	1	GS
52950	36015	42544	51	1	GS
62796	49441	35893	51	1	GS
63261	52950	49651	51	1	GS
61774	49441	40008	51	1	GS
61782	49441	40008	51	1	GS
63265	52950	49651	51	1	GS
60834	47607	36015	51	1	GS
63976	49959	50644	51	1	GS
62026	44386	36015	51	1	GS
40008	18482	11763	51	1	GS
60844	47607	36015	51	1	GS
58943	40008	45578	51	1	GS
58937	40008	45578	51	1	GS
60659	49441	35893	51	1	GS
57897	36015	45578	51	1	GS
56742	40008	36015	51	1	GS
59900	35893	49959	51	1	GS
50644	36015	29645	51	1	GS
55776	40008	41854	51	1	GS
54243	44576	36015	51	1	GS
58795	35591	45578	51	1	GS
59903	35893	49959	51	1	GS
56678	35591	46565	51	1	GS
62813	35591	52679	51	1	GS
57833	38548	40008	51	1	GS
59901	35893	49959	51	1	GS
62796	49441	35893	52	1	GS
64248	35893	49441	52	1	GS
62249	52950	49959	52	1	GS
65070	52950	54545	52	1	GS
64066	52950	41629	52	1	GS
63976	49959	50644	52	1	GS
52950	36015	42544	52	1	GS
62026	44386	36015	52	1	GS
64069	52950	41629	52	1	GS
61774	49441	40008	52	1	GS
63261	52950	49651	52	1	GS
61782	49441	40008	52	1	GS
65063	52950	54545	52	1	GS
58937	40008	45578	52	1	GS
63265	52950	49651	52	1	GS
65057	52950	54545	52	1	GS
57897	36015	45578	52	1	GS
40008	18482	11763	52	1	GS
58795	35591	45578	52	1	GS
58943	40008	45578	52	1	GS
56742	40008	36015	52	1	GS
54243	44576	36015	52	1	GS
50644	36015	29645	52	1	GS
56678	35591	46565	52	1	GS
