year	rep	scenario	meanG	varG	accSel
108	1	Pheno	4534.00883962052	104342.132178764	0.514531601838824
109	1	Pheno	4691.37103981763	78559.4086280871	0.405366712909033
110	1	Pheno	4500.01676991928	124925.073141261	0.433458307761075
111	1	Pheno	4488.70681626185	112881.553330223	0.385840275334291
112	1	Pheno	4621.45051477316	96787.3173491145	0.363220703915768
113	1	Pheno	4698.61663683885	66720.9681017241	0.335445780466116
114	1	Pheno	4521.75296227732	109447.105327143	0.327605965140456
115	1	Pheno	4621.1659206647	71448.6107118591	0.471576056930168
116	1	Pheno	4579.30643213316	88461.9789864222	0.36359074188113
117	1	Pheno	4503.5621746796	103448.606178074	0.341847449976578
118	1	Pheno	4597.45435900572	79645.4534410577	0.280875996134584
119	1	Pheno	4578.43074321546	98558.5604166813	0.316218020975156
120	1	Pheno	4700.31474860064	67000.2119710373	0.333822653791803
121	1	Pheno	4838.12070698099	53089.9982529407	0.364181687025019
122	1	Pheno	4767.50602204677	58095.0136452656	0.288823800277705
123	1	Pheno	4797.66035252458	62354.0417353779	0.297392575987951
124	1	Pheno	4745.76184647133	65601.8746159859	0.351612622630611
125	1	Pheno	4786.16116834094	69534.5188907872	0.212648633452175
126	1	Pheno	4813.20563775425	55359.8322537458	0.275308658461842
127	1	Pheno	4883.42354483694	47767.1805138485	0.306818302551523
128	1	Pheno	4873.60548933067	52646.5778636004	0.364283233283079
129	1	Pheno	4825.40463472418	57655.2951610635	0.289912207607137
130	1	Pheno	4898.77976182411	69660.0023269161	0.356222096813554
131	1	Pheno	4800.20016667118	56609.331437579	0.276907303488997
132	1	Pheno	4782.78277518681	78712.1206406881	0.297372576777521
133	1	Pheno	4750.15352865577	75532.1950726552	0.260013867538537
134	1	Pheno	4892.04296529259	75406.6706134565	0.301134204283564
135	1	Pheno	4842.61516662048	66988.2530289096	0.352149911328716
136	1	Pheno	4811.97981856511	62891.8676570695	0.309665426750536
137	1	Pheno	4884.80572492866	67730.2828298461	0.307073985870022
138	1	Pheno	4819.99568173083	71969.5073047118	0.358660460060068
139	1	Pheno	4843.85088670163	72537.4443613327	0.250558491436395
140	1	Pheno	4787.05040908653	83912.8733739913	0.383433895611513
141	1	Pheno	4779.69761810828	69371.6643434666	0.362525531679718
142	1	Pheno	4859.98478606617	47662.7144867099	0.268519919436942
143	1	Pheno	4952.25891745989	40700.6842653252	0.298834651235815
144	1	Pheno	4825.4673038169	71081.8631676892	0.345642627303701
145	1	Pheno	4876.6132539856	56437.9887028456	0.363625092954529
146	1	Pheno	4867.47049662618	50951.5553265119	0.302585797637462
147	1	Pheno	4841.84249230056	62568.9379663566	0.325897502022566
148	1	Pheno	4846.85644411733	70000.9634446978	0.219837747653449
149	1	Pheno	4822.3991793549	66865.8017551556	0.254874409482907
150	1	Pheno	4901.79151270402	71117.9142859185	0.255669949275286
151	1	Pheno	4928.96488518229	49119.8960097909	0.311413303961455
152	1	Pheno	4948.2239414083	80807.3699091832	0.295534193251937
153	1	Pheno	4875.95319002703	61395.3828951627	0.325012433248245
154	1	Pheno	4897.23683954231	92067.6967164829	0.330691265690631
155	1	Pheno	4939.7447540815	55376.4695689281	0.403020184679739
156	1	Pheno	4910.40157839675	65452.4946930028	0.280442623915301
157	1	Pheno	4896.03329430314	82322.9509995881	0.37436841595441
158	1	Pheno	4852.61544636136	76871.5563557516	0.307855282827498
159	1	Pheno	4885.2256982445	67770.8955996926	0.33892027925221
160	1	Pheno	4881.45972821509	70967.4612677357	0.271305761388567
1	1	Burn_in	2535.94729408834	90003.1222747312	0.45839219390485
2	1	Burn_in	2604.96139227157	113678.075004454	0.349106443892534
